Title,Release Date,Score,Developer,Publisher,Genre,Platforms,Image URL
Scarlet Nexus,"Jun 25, 2021",80,Bandai Namco Games,Bandai Namco Games,Action,"PC, PlayStation 5, Xbox Series X",/public/game_images/Scarlet_Nexus.jpg
XCOM: Chimera Squad,"Apr 23, 2020",77,Firaxis Games,2K Games,Strategy,PC,
NBA 2K24,"Sep 8, 2023",68,Visual Concepts,2K Games,Basketball,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/NBA_2K24.jpg
Cyberpunk 2077,"Dec 10, 2020",86,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,Action,"PC, PlayStation 5, Xbox Series X",/public/game_images/Cyberpunk_2077.jpg
Call of Duty: Warzone Caldera,"Mar 10, 2020",79,Infinity Ward,Activision,First-Person,PC,
THE FINALS,"Dec 7, 2023",80,Embark Studios,Embark Studios,First-Person,"PC, PlayStation 5, Xbox Series X",/public/game_images/THE_FINALS.jpg
Death's Door,"Jul 20, 2021",85,Acid Nerve,Devolver Digital,Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Death's_Door.jpg
Nickelodeon All-Star Brawl 2,"Nov 7, 2023",77,Ludosity Interactive,GameMill Entertainment,2D,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Nickelodeon_All-Star_Brawl_2.jpg
Ultros,"Feb 13, 2024",79,Hadoque,Kepler Interactive,Platformer,"PC, PlayStation 5",/public/game_images/Ultros.jpg
EA Sports FC 24,"Sep 22, 2023",75,EA Canada,Electronic Arts,Simulation,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/EA_Sports_FC_24.jpg
WindJammers 2,"Jan 20, 2022",78,DotEmu,DotEmu,Sports,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/WindJammers_2.jpg
Planet of Lana,"May 23, 2023",80,Wishfully,Thunderful,Adventure,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Planet_of_Lana.jpg
SIFU,"Feb 6, 2022",81,Sloclap,Sloclap,3D,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/SIFU.jpg
Oxenfree II: Lost Signals,"Jul 12, 2023",73,Night School Studio,Netflix,Adventure,"PC, Nintendo Switch, PlayStation 5",
Animal Well,"May 9, 2024",91,Shared Memory,Limited Run Games,Metroidvania,"Nintendo Switch, PC, PlayStation 5",/public/game_images/Animal_Well.jpg
The Big Con,"Aug 31, 2021",77,Mighty Yell,Mighty Yell,Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/The_Big_Con.jpg
Bright Memory: Infinite,"Nov 11, 2021",67,FYQD-Studio,Playism,Shooter,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",
Armored Core VI: Fires of Rubicon,"Aug 24, 2023",86,From Software,From Software,Simulation,"PC, PlayStation 5, Xbox Series X",
Bloodstained: Curse of the Moon 2,"Jul 10, 2020",82,Inti,Limited Run Games,Platformer,"PC, Nintendo Switch",
WWE 2K24,"Mar 5, 2024",81,Visual Concepts,2K Games,Action,"PC, PlayStation 5, Xbox Series X",/public/game_images/WWE_2K24.jpg
Monster Hunter Stories 2: Wings of Ruin,"Jul 9, 2021",81,Capcom,Capcom,Role-Playing,"PC, Nintendo Switch",
Sam & Max: Save the World,"Dec 2, 2020",75,Skunkape Games,Skunkape Games,Adventure,"PC, Nintendo Switch",
